Invoice_Number,Invoice_Date,Vendor_Name,GSTIN,Taxable_Amount,GST_Rate_%,GST_Amount,Total_Amount
INV-1027,2025-07-10,Salvi Ltd,62tsnB9946Y8L0M,462924.55,5,23146.23,486070.78
INV-1028,2026-01-31,Shroff-Sathe,73QONv8721f4W8p,242774.14,28,67976.76,310750.9
INV-1029,2026-02-07,Kar-Issac,20AOKm0379T1S7y,69729.26,18,12551.27,82280.53
INV-1030,2025-11-29,Kohli-Divan,01JphD6328i7Z0D,447995.95,5,22399.8,470395.75
INV-1031,2026-02-05,"Nadig, Savant and Thaman",68OrXX7277H4F3O,494200.06,28,138376.02,632576.08
INV-1032,2025-08-22,Sarraf-Brahmbhatt,43joyS4558j1T2n,286078.74,28,80102.05,366180.79
INV-1033,2025-06-15,Reddy-Narayanan,87SbWK6036y6E9a,56513.54,12,6781.62,63295.16
INV-1034,2025-10-05,Ramakrishnan-Saini,88Fbyv9373Q4R6Z,385464.39,12,46255.73,431720.12
INV-1035,2025-10-26,"Gandhi, Sibal and Datta",98PBiD0699l0d1q,440887.93,5,22044.4,462932.33
INV-1036,2025-10-16,Kakar-Sha,55bVId6464w1o7P,49938.43,12,5992.61,55931.04
INV-1037,2025-06-17,"Baria, Balasubramanian and Kota",30KnDS9232q7X1x,361081.2,18,64994.62,426075.82
INV-1038,2025-07-26,"Contractor, Gade and Mukhopadhyay",19eLSO0496p6g3S,416457.23,12,49974.87,466432.1
INV-1039,2026-03-18,Dara-Barman,58AFgB6518x5O0D,320389.99,12,38446.8,358836.79
INV-1040,2026-02-20,Saran and Sons,84rupf9877r6C9p,72850.43,12,8742.05,81592.48
INV-1041,2026-03-09,Raghavan-Nayar,07vrMS5273r5J4a,204017.36,12,24482.08,228499.44
INV-1042,2025-12-08,Chada and Sons,67fsoz8377S7p0t,494867.2,5,24743.36,519610.56
INV-1043,2026-02-03,"Pillay, Solanki and Wali",56qohU8557m4u4h,381919.04,18,68745.43,450664.47
INV-1044,2026-03-06,"Goyal, Handa and Kalita",74soxl9894t1a3T,263764.69,28,73854.11,337618.8
INV-1045,2025-12-15,Mahal Inc,08sEEC4271v0l9d,371119.52,28,103913.47,475032.99
INV-1046,2025-08-28,Comar-Bhattacharyya,67tfph1902J2W9A,302341.33,5,15117.07,317458.4
INV-1047,2026-01-12,"Kara, Virk and Rai",77dNVg4964W9n9O,158320.06,5,7916.0,166236.06
INV-1048,2025-08-11,Bumb-Dugar,32SMEs8120c6o7s,334525.8,12,40143.1,374668.9
INV-1049,2026-02-20,Setty-Bobal,34Pjrj9361e8d3k,274937.93,5,13746.9,288684.83
INV-1050,2026-03-25,Mani-Sarna,17CfMc4648B8V7u,438330.62,12,52599.67,490930.29
INV-1051,2026-01-11,Bal-Chand,39EHPC9049r0l2L,209213.52,28,58579.79,267793.31
INV-1052,2025-11-07,"Swamy, Chand and Singhal",56SFsQ5512z5W6J,267494.1,28,74898.35,342392.45
INV-1053,2025-06-05,Chakrabarti-Murty,45AdmH1680x8N7W,36515.86,12,4381.9,40897.76
INV-1054,2025-12-01,"Sathe, Behl and Jani",48OMZp2477T1k0t,285345.39,12,34241.45,319586.84
INV-1055,2025-12-21,Reddy Inc,31TrAE7127E4p8D,216204.69,18,38916.84,255121.53
INV-1056,2025-12-22,Rajagopal and Sons,98rasU2146t5L8L,129566.65,18,23322.0,152888.65
INV-1057,2026-02-02,Dixit-Sekhon,87umSp5588K6y7o,25828.03,28,7231.85,33059.88
INV-1058,2026-04-19,Bassi-Nadkarni,76LvgC6270g2H8D,334674.42,5,16733.72,351408.14
INV-1059,2025-05-27,"Dhawan, Rout and Dubey",17RIyu4596O1T5W,300350.35,28,84098.1,384448.45
INV-1060,2025-11-27,"Banik, Biswas and Keer",43Stbc1611u7Y2d,257019.21,28,71965.38,328984.59
INV-1061,2025-09-12,Prasad-Sankar,23fNyN8692R2p2F,326381.9,5,16319.1,342701.0
INV-1062,2026-05-11,"Dhar, Kata and Shenoy",47eCwL4074t8O2B,448924.47,5,22446.22,471370.69
INV-1063,2026-02-14,Shan-Mittal,36KsSs7136b9Q5z,426277.46,5,21313.87,447591.33
INV-1064,2025-09-05,Bawa PLC,74qRWU3953X3Q9R,305302.96,5,15265.15,320568.11
INV-1065,2026-04-12,Chatterjee Ltd,04suVA7095l2m1i,37892.47,5,1894.62,39787.09
INV-1066,2026-03-23,"Pau, Wali and Thaker",42ejWo4745R1U7R,182912.79,28,51215.58,234128.37
INV-1067,2025-10-23,"Pau, Chana and Rana",04yOxg8175R4o9E,311642.51,18,56095.65,367738.16
INV-1068,2025-05-31,"Narang, Kant and Bhatnagar",74Fhgp6120I0i4y,194619.18,28,54493.37,249112.55
INV-1069,2025-11-14,Zachariah-Saini,92cSxn6179C6C4p,53300.32,18,9594.06,62894.38
INV-1070,2026-04-19,Chaudhary-Pillai,85fQnP0643O1M7b,418732.01,18,75371.76,494103.77
INV-1071,2025-06-10,Kohli-Dass,93vXjY1839M3a3r,381409.77,5,19070.49,400480.26
INV-1072,2026-04-20,De PLC,42Lubl1020q5d3i,428243.9,18,77083.9,505327.8
INV-1073,2026-03-06,Vora-Comar,17GoNc7589U1Y7Q,302242.91,5,15112.15,317355.06
INV-1074,2025-12-10,Shanker-Balasubramanian,07fuMj6617e7i1r,214684.55,18,38643.22,253327.77
INV-1075,2026-01-19,"Nair, Raj and Wali",47UnBC8961o1A8v,228750.84,5,11437.54,240188.38
INV-1076,2026-04-08,Rastogi-Sagar,15efff6545B2g7V,399595.12,18,71927.12,471522.24
INV-1077,2026-03-04,De-Bhasin,98UdsM8516t5w6g,328634.43,18,59154.2,387788.63
INV-1078,2026-01-01,"Kala, Dubey and Subramaniam",31oZBJ5851X4N9N,174230.56,12,20907.67,195138.23
INV-1079,2026-02-08,"Bal, Loke and Balakrishnan",24KQze4550j2V2O,103082.73,28,28863.16,131945.89
INV-1080,2025-06-02,Wali and Sons,66XKMf7525d4j5k,208110.26,5,10405.51,218515.77
INV-1081,2026-03-10,"Bawa, Bumb and Magar",76WGhw7976B4h3s,458205.38,28,128297.51,586502.89
INV-1082,2026-02-09,"Sur, Vyas and Morar",03nXiW6900q3s4u,465962.24,12,55915.47,521877.71
INV-1083,2025-07-07,Tank Ltd,62QZwe2683z8V8c,221108.86,5,11055.44,232164.3
INV-1084,2025-11-07,Sharaf Inc,59zbuk6966Z4N1D,413756.59,18,74476.19,488232.78
INV-1085,2026-04-10,"Pathak, Chakrabarti and Sarkar",13tVvo6968v1X6k,52688.8,5,2634.44,55323.24
INV-1086,2025-06-20,"Comar, Wali and Uppal",35mlMj5231W2W4P,69764.63,5,3488.23,73252.86
INV-1087,2025-06-20,Tak Group,99CeEC7995O5t2Y,201760.02,12,24211.2,225971.22
INV-1088,2025-09-05,"Bhalla, Pandey and Tripathi",14ePfN7700M5G4y,168700.09,28,47236.03,215936.12
INV-1089,2025-11-17,"Barman, Sengupta and Guha",59ZvTf7820G7P1l,219784.54,18,39561.22,259345.76
INV-1090,2025-06-06,Sarma Group,88AXvR9255M4d6Y,225381.61,12,27045.79,252427.4
INV-1091,2026-01-22,"Natt, Bhatti and Narayan",18fLQj6449w2t5P,485254.76,12,58230.57,543485.33
INV-1092,2026-02-17,"Ramanathan, Dayal and Chad",48Gxbx6528t1l6n,161396.04,12,19367.52,180763.56
INV-1093,2025-10-01,Handa-Kara,22cQvX1418N8i8M,13464.01,18,2423.52,15887.53
INV-1094,2025-10-15,Gaba and Sons,92NsWV7065Y3C7o,279564.26,5,13978.21,293542.47
INV-1095,2025-12-15,More Group,35HAkm9774Z6M8i,318843.21,12,38261.19,357104.4
INV-1096,2026-04-26,Ben-Srivastava,58rCGj1814B1f2o,256068.29,12,30728.19,286796.48
INV-1097,2026-04-04,Palla-Bala,60xobu6853g6T1P,241846.88,18,43532.44,285379.32
INV-1098,2025-09-29,Devan Inc,47bqnj2779J0U1M,303739.28,5,15186.96,318926.24
INV-1099,2025-12-12,Choudhry-Mani,34ehFM1036I9b7O,355272.35,18,63949.02,419221.37
INV-1100,2025-12-08,"Khurana, Dhawan and Manne",60QQfH9539x6e2H,225013.45,18,40502.42,265515.87
INV-1101,2025-12-19,"Tripathi, Bahri and Ramakrishnan",70wpUQ6540O5g1X,459091.25,12,55090.95,514182.2
INV-1102,2026-01-02,"Natarajan, Deol and Basu",58eTXD5277c2s2m,485019.61,18,87303.53,572323.14
INV-1103,2025-06-08,Barman LLC,48swXd6874P0v3r,169135.58,18,30444.4,199579.98
INV-1104,2025-07-09,Sarkar-Ratta,76rZfU5277B5f8B,72952.79,5,3647.64,76600.43
INV-1105,2026-01-10,Memon LLC,11kSCw5447C9c6U,225202.71,18,40536.49,265739.2
INV-1106,2026-04-24,Saran-Maharaj,01MRYC6582c0i2e,138163.08,18,24869.35,163032.43
INV-1107,2025-08-21,"Peri, Pathak and Rajagopal",90WeKi9275H5x7z,177715.72,28,49760.4,227476.12
INV-1108,2025-09-21,"Mallick, Krish and Comar",02XqTC7868n1N4s,199940.23,28,55983.26,255923.49
INV-1109,2026-02-15,Iyengar-Das,21TeJI7271s5t5k,139428.13,28,39039.88,178468.01
INV-1110,2026-02-22,"Ghosh, Pathak and Trivedi",31JKxD3237Z0J5i,54884.72,12,6586.17,61470.89
INV-1111,2026-01-14,Bhatti LLC,67uPeC8669D1R2H,359455.48,28,100647.53,460103.01
INV-1112,2025-10-02,Gopal and Sons,68kuTo0182w4H2s,161126.08,5,8056.3,169182.38
INV-1113,2026-04-15,Krishna and Sons,84PkLL2498j1k8Q,246875.1,28,69125.03,316000.13
INV-1114,2026-01-19,"Nazareth, Barman and Balakrishnan",10ObFO9439I6s9P,337573.19,5,16878.66,354451.85
INV-1115,2025-09-16,Konda-Ravi,47DnvM1027j6u7T,151952.32,5,7597.62,159549.94
INV-1116,2025-09-23,"Pai, Rastogi and De",58rCpj8153g7d1s,159095.72,5,7954.79,167050.51
INV-1117,2025-10-18,"Sahota, Kothari and Dutta",59FtFb5327f8z7G,455938.92,5,22796.95,478735.87
INV-1118,2025-11-15,Kale PLC,50IagB0479i7q4U,337811.73,12,40537.41,378349.14
INV-1119,2025-10-11,Pau-Bath,60eyGC9835W8J4r,325621.7,28,91174.08,416795.78
INV-1120,2026-04-07,"Dani, Dave and Chatterjee",65GzGc5852c3c9i,215968.53,18,38874.34,254842.87
INV-1121,2026-02-23,Som-Venkataraman,72kzNV9825t9L5v,6988.33,12,838.6,7826.93
INV-1122,2025-12-05,"Walia, Suri and Mistry",70YUSO5516b9M4E,303504.81,12,36420.58,339925.39
INV-1123,2025-09-02,"Kari, Behl and Srinivasan",28Shmb9623C0u9A,305249.32,28,85469.81,390719.13
INV-1124,2025-07-19,Jani-Roy,89uQEH7028y3u8l,483622.61,18,87052.07,570674.68
INV-1125,2025-11-16,"Oommen, Pandya and Lalla",97tXsT3348n4S3T,208741.39,12,25048.97,233790.36
INV-1126,2025-11-27,Srinivasan-Palla,84wXZj4198s6c6s,294814.72,18,53066.65,347881.37
INV-1127,2026-02-23,Pal Group,47igNV3384L8p4p,265247.45,28,74269.29,339516.74
INV-1128,2025-06-10,"Wali, Kara and Kaul",01JkAP6571E2E0P,272792.05,28,76381.77,349173.82
INV-1129,2025-08-07,Nagi-Mangal,01lczY9380F2l6V,179662.51,12,21559.5,201222.01
INV-1130,2026-04-25,Barad-Andra,49HFiG9154D7r8m,261277.73,5,13063.89,274341.62
INV-1131,2026-04-01,Narayanan and Sons,74lNOz2054B9G3u,387350.75,12,46482.09,433832.84
INV-1132,2025-06-24,Chandran-Goyal,27CWrv5304t6L3U,83035.56,28,23249.96,106285.52
INV-1133,2025-12-30,Lal Ltd,53RGTX0174t2S6h,474357.9,12,56922.95,531280.85
INV-1134,2026-01-25,Pillai-Kant,32SJEW7279I5Z6Q,431134.91,28,120717.77,551852.68
INV-1135,2026-04-07,Kota Ltd,91hdJG8785m1K9I,219982.28,5,10999.11,230981.39
INV-1136,2025-07-19,Narang PLC,71ZdDi3971G8A7D,192155.93,18,34588.07,226744.0
INV-1137,2025-12-27,Shere Ltd,40cBwS6403e9I1d,361038.08,28,101090.66,462128.74
INV-1138,2026-05-19,Sodhi Inc,46yyfR2265Q6I7i,177896.82,28,49811.11,227707.93
INV-1139,2026-01-30,Dani-Gokhale,86DRUI8230B0I4y,449249.59,28,125789.89,575039.48
INV-1140,2026-04-06,Kota Group,52Xbpn4310e6g9M,49361.44,18,8885.06,58246.5
INV-1141,2025-06-04,Bava-Konda,06GsoU7383K0u2K,291554.13,28,81635.16,373189.29
INV-1142,2026-01-09,"Nagi, Khalsa and Mittal",28LVlO3644R0B8J,189321.31,18,34077.84,223399.15
INV-1143,2025-11-30,Padmanabhan Ltd,68lWIE5662p4o6t,108455.98,5,5422.8,113878.78
INV-1144,2026-04-20,"Dhawan, Sheth and Bhardwaj",86qnvP6882f6C3x,325662.49,28,91185.5,416847.99
INV-1145,2025-06-26,"Halder, Behl and Loyal",69nEnv9013t9a8n,216042.04,5,10802.1,226844.14
INV-1146,2026-05-20,Dalal Ltd,73XsyD9363I8P5w,272871.82,18,49116.93,321988.75
INV-1147,2025-09-18,Parsa-Varghese,77AcKo1753V5j5b,35289.08,18,6352.03,41641.11
INV-1148,2025-08-31,"Sahni, Merchant and Dua",35PRvq3693W7F8U,83687.17,28,23432.41,107119.58
INV-1149,2026-01-26,"Swaminathan, Sharma and Ganguly",52HceQ2872d8W0a,198980.64,28,55714.58,254695.22
INV-1150,2025-10-29,Kashyap Inc,20OQNE3875Q0F9b,247815.15,18,44606.73,292421.88
INV-1151,2025-05-24,"Sabharwal, Arora and Badal",84ggHj8408p6m2N,312858.01,18,56314.44,369172.45
INV-1152,2025-12-12,Pandya-Loke,61tRfP5679P3W3c,204581.5,18,36824.67,241406.17
INV-1153,2025-06-27,Raghavan-Purohit,87PYvK0021g7H6c,357089.37,18,64276.09,421365.46
INV-1154,2025-08-19,Soman LLC,01bnLj4890W2T5z,307551.31,12,36906.16,344457.47
INV-1155,2026-05-17,Mistry and Sons,93YSUf9685G6V2w,464098.72,28,129947.64,594046.36
INV-1156,2025-06-11,Sarkar and Sons,15OrYC9996F5o0w,370007.97,18,66601.43,436609.4
INV-1157,2025-12-22,Sankaran-Grewal,96rjyT1943Y1O1j,97997.54,12,11759.7,109757.24
INV-1158,2026-03-05,Nadig-Patel,11iflB0475C4J1J,101201.68,5,5060.08,106261.76
INV-1159,2025-12-07,Chauhan-Bal,15asAy8199X5f6U,342493.59,18,61648.85,404142.44
INV-1160,2026-05-06,"Kibe, Verma and Gara",62ekBr2444A7t2E,490126.05,18,88222.69,578348.74
INV-1161,2026-03-21,Patel LLC,37tazv9937N1y2Z,474331.25,5,23716.56,498047.81
INV-1162,2026-04-21,Sarraf-Natt,69ulzu2459s3V7S,244687.75,5,12234.39,256922.14
INV-1163,2026-01-22,Kibe-Nanda,64IlRX6519J3b9U,267091.62,18,48076.49,315168.11
INV-1164,2025-11-17,"Kadakia, Sarma and Manne",16TBYy7243e4C2M,493934.95,5,24696.75,518631.7
INV-1165,2025-11-24,"Rattan, Warrior and Toor",68XpQQ0589w1k1P,435451.84,5,21772.59,457224.43
INV-1166,2026-01-14,Ratta LLC,61JLSK0143o8C8x,212011.04,5,10600.55,222611.59
INV-1167,2025-10-20,Tella-Dora,50Ujwt7146v1D1Y,251804.54,12,30216.54,282021.08
INV-1168,2025-08-10,"Subramanian, Pall and Soni",17bvPg7514R0Z1k,100546.94,5,5027.35,105574.29
INV-1169,2026-05-18,"Kohli, Varty and Ghosh",82OllO5867Q3B6z,277895.05,28,77810.61,355705.66
INV-1170,2025-06-02,"Hora, Sengupta and Sanghvi",60ZIlx3341u9m1D,407697.61,12,48923.71,456621.32
INV-1171,2025-07-05,Suri-Wable,59wDNl6969R1T5Z,85108.96,5,4255.45,89364.41
INV-1172,2025-09-14,"Chad, Desai and Munshi",13yAMi4125K2y8B,138429.85,12,16611.58,155041.43
INV-1173,2025-08-02,Yogi-Ghose,82Ndwa7422F5i7m,481409.86,5,24070.49,505480.35
INV-1174,2026-04-03,Tiwari-Talwar,67bYWo6772s1c9r,251783.34,28,70499.34,322282.68
INV-1175,2025-08-17,"Mani, Ganguly and Shankar",97XIxI8819W1c4W,300318.03,5,15015.9,315333.93
INV-1176,2026-02-25,Kamdar-Sandal,13ChXZ4074p5n1Z,369937.75,5,18496.89,388434.64
INV-1177,2026-03-04,"Panchal, Sangha and Gandhi",92rMIk3309u5T8s,241220.29,5,12061.01,253281.3
INV-1178,2025-09-11,"Loke, Varkey and Chandran",26TupW0422R3z2F,359322.53,28,100610.31,459932.84
INV-1179,2025-07-16,"Luthra, Sachdeva and Prashad",71FuLa1684X5U7f,196668.37,28,55067.14,251735.51
INV-1180,2026-03-01,Parmar-Bhatnagar,86svJK3637i4K5F,382201.15,12,45864.14,428065.29
INV-1181,2026-03-24,Bava-Batra,17BmSi0127P7t0k,62980.23,18,11336.44,74316.67
INV-1182,2026-04-26,Chander-Patel,41BPfT5206g4a3n,356278.45,12,42753.41,399031.86
INV-1183,2025-11-23,Deo PLC,38SiEe7005o1y6f,486667.77,28,136266.98,622934.75
INV-1184,2026-03-01,Chauhan LLC,54KaNP2622k1C8w,29953.94,28,8387.1,38341.04
INV-1185,2026-02-26,Doshi Group,97UywB3112u1Y9i,219533.27,18,39515.99,259049.26
INV-1186,2025-08-26,Chad-Kothari,89HMGm9940V4z3s,116722.46,28,32682.29,149404.75
INV-1187,2026-01-27,Khatri Group,61xuiy3791K8A0x,275263.46,28,77073.77,352337.23
INV-1188,2025-12-20,"Gera, Sinha and Bora",09YzGs1043O0T0G,362256.85,18,65206.23,427463.08
INV-1189,2026-03-15,Sampath-Ratti,18fGnZ8924j1I4u,150768.09,28,42215.07,192983.16
INV-1190,2025-10-20,"Bhatti, Mukherjee and Sarkar",30MdtQ3161V7Q9V,345521.71,5,17276.09,362797.8
INV-1191,2025-07-29,Arora Ltd,20kxiV2758X8r4U,364581.53,12,43749.78,408331.31
INV-1192,2026-05-01,Balan LLC,64DGxd8149F1K7k,306603.2,12,36792.38,343395.58
INV-1193,2025-10-11,Kumer Inc,91cExy3800j0l3c,489208.06,12,58704.97,547913.03
INV-1194,2025-12-22,"Saini, Kapur and Nagy",36GRdl5419o5Z1H,18164.25,18,3269.56,21433.81
INV-1195,2025-06-08,Biswas-Shroff,44msKY5187t0V5N,398635.01,5,19931.75,418566.76
INV-1196,2025-08-24,Pillay-Tak,38IwOS3206a0v3a,286861.34,18,51635.04,338496.38
INV-1197,2026-03-12,"Puri, Mohanty and Chawla",38fcoH3670A2S4x,420367.06,12,50444.05,470811.11
INV-1198,2025-11-16,"Chad, Chandran and Tiwari",26psqu1990Z6z2S,122074.9,5,6103.74,128178.64
INV-1199,2026-04-10,"Narain, Nadkarni and Sethi",43gkCD1329u1A2h,208954.41,18,37611.79,246566.2
INV-1200,2025-12-16,Johal-Seth,47cnuj4112f4T9p,285964.08,12,34315.69,320279.77
INV-1201,2025-10-07,Varghese-Bawa,44pgDg2067Z8Y8i,458223.57,18,82480.24,540703.81
INV-1202,2025-07-08,Bhatia and Sons,23ebem6519P9C4Z,222332.47,12,26679.9,249012.37
INV-1203,2025-07-11,Narula Inc,07byRB0296l6w7n,302386.24,5,15119.31,317505.55
INV-1204,2026-05-09,Maharaj LLC,72FAJE0999d3f4r,208751.45,28,58450.41,267201.86
INV-1205,2025-10-17,Saini and Sons,83YFwK8065G7u8y,51950.99,28,14546.28,66497.27
INV-1206,2025-09-04,Bal LLC,93XLok0407g8p5Q,153520.43,5,7676.02,161196.45
INV-1207,2025-08-23,Walla-Bhalla,39uZVS6522w3L9b,125405.94,5,6270.3,131676.24
INV-1208,2026-02-19,"Pandey, Dhar and Guha",78oMob4270H1E0a,298927.92,12,35871.35,334799.27
INV-1209,2025-09-27,"Jaggi, De and Oak",25Hxex0029T2Q1z,440616.38,28,123372.59,563988.97
INV-1210,2026-01-04,Nayar LLC,52SNYw2675o2Q8L,314968.25,5,15748.41,330716.66
INV-1211,2026-04-03,Radhakrishnan LLC,42lMuZ2096N9o0O,441423.35,12,52970.8,494394.15
INV-1212,2025-12-27,Taneja and Sons,51Caqn3552p1S5e,446181.17,5,22309.06,468490.23
INV-1213,2025-10-05,Chokshi-Agarwal,06wIyg7626E7Y6K,99980.58,18,17996.5,117977.08
INV-1214,2026-01-29,"Kar, Gaba and Seth",10vkyk4054U1e1J,66683.78,12,8002.05,74685.83
INV-1215,2026-05-22,Nigam PLC,97dgvn0629m6A2S,499909.96,18,89983.79,589893.75
INV-1216,2025-12-23,"Zachariah, Lanka and Manda",43jdxa1069B8f7s,341569.65,5,17078.48,358648.13
INV-1217,2026-04-06,"Srinivasan, Iyengar and Chatterjee",03YzEF2417Q1q4f,110786.12,28,31020.11,141806.23
INV-1218,2026-01-26,"Ram, Goyal and Prabhakar",65qorK2704d7j7W,301467.09,12,36176.05,337643.14
INV-1219,2026-02-16,"Chatterjee, Chada and Padmanabhan",86AIRE9380K6p8E,16392.24,12,1967.07,18359.31
INV-1220,2025-09-15,Rana Ltd,08WClk9899n2Z1m,36217.91,18,6519.22,42737.13
INV-1221,2025-07-10,Sampath Inc,63yJzJ2945u1r1H,344866.8,12,41384.02,386250.82
INV-1222,2025-11-15,Virk Group,16gKXg2299Y9s1I,299221.06,5,14961.05,314182.11
INV-1223,2026-04-28,Roy-Lalla,67zjNM9970R2S4z,252759.55,5,12637.98,265397.53
INV-1224,2025-06-06,Narula-Khanna,07rFSR4505g4o4i,230370.25,12,27644.43,258014.68
INV-1225,2025-09-15,"Savant, Nagi and Luthra",69WHxd1373G6Y7k,117957.22,28,33028.02,150985.24
INV-1226,2025-06-16,Toor-Raval,28pcDd9023x3T0m,442080.4,5,22104.02,464184.42
INV-1227,2025-09-05,Shetty-Tiwari,61lELJ0357w9w7k,458828.23,18,82589.08,541417.31
INV-1228,2026-04-12,Chana-Mane,06RnrP0293A3G3b,121236.5,28,33946.22,155182.72
INV-1229,2026-04-22,"Andra, Som and Deo",29BywD0349q4n4D,41074.99,28,11501.0,52575.99
INV-1230,2025-09-16,"Verma, Ranganathan and Chaudry",08RgEe5899v4r4O,82912.04,18,14924.17,97836.21
INV-1231,2025-09-25,Lal-Misra,32RiUb8309P6F5s,272338.54,12,32680.62,305019.16
INV-1232,2025-08-30,Ravel-Rama,09QwGt9353k8Q7J,137113.31,28,38391.73,175505.04
INV-1233,2025-07-31,Chatterjee-Sinha,24oVtA8251Y3v5x,94042.38,5,4702.12,98744.5
INV-1234,2025-08-31,"Menon, Sheth and Dalal",70GhRy9991H7t3A,16742.29,18,3013.61,19755.9
INV-1235,2025-06-11,Devan and Sons,56FvOl9725u2O1d,305804.95,12,36696.59,342501.54
INV-1236,2025-05-23,Mahal-Kadakia,29OBzB2712E9y6a,80860.35,5,4043.02,84903.37
INV-1237,2025-06-05,"Iyengar, Prakash and Atwal",58tigy3003G3L5t,472537.01,28,132310.36,604847.37
INV-1238,2025-07-25,Bath LLC,47vFwW8985m6k2Z,102771.06,12,12332.53,115103.59
INV-1239,2025-10-25,Kari and Sons,23TPYc0982y1O5q,454504.41,28,127261.23,581765.64
INV-1240,2026-03-17,"Bava, Bava and Chokshi",00qESj1676n1S8R,380004.37,28,106401.22,486405.59
INV-1241,2026-01-21,Mitra Group,18GUNh4992s6h1Y,206419.11,18,37155.44,243574.55
INV-1242,2025-07-02,Issac-Iyengar,48JFnS3564E2v0p,314394.57,12,37727.35,352121.92
INV-1243,2025-05-23,Chakraborty Inc,97PoDs2181q1D4d,432904.29,12,51948.51,484852.8
INV-1244,2025-06-29,Baral LLC,55QPkv6110w0C2N,40593.17,18,7306.77,47899.94
INV-1245,2025-09-03,"Chander, Pradhan and Oommen",21ZAPZ6674k6h7i,61270.4,18,11028.67,72299.07
INV-1246,2026-02-16,"Bhargava, Dutta and Chawla",69XwNb7972R9U6i,12726.57,18,2290.78,15017.35
INV-1247,2025-11-25,Chowdhury-Sabharwal,70UKoQ1450v8H9H,202957.98,5,10147.9,213105.88
INV-1248,2026-02-13,"Chandran, Sant and Kothari",75PkGE6289F0k0e,134764.46,28,37734.05,172498.51
INV-1249,2026-03-09,Nagi-Khosla,54pfDC0838Z6K6C,336501.66,12,40380.2,376881.86
INV-1250,2025-06-25,Sekhon-Mutti,17JafY0166M0N8O,268330.24,12,32199.63,300529.87
INV-1251,2025-09-17,"Jhaveri, Shan and Om",50ETQx3758T9C9h,195657.12,28,54783.99,250441.11
INV-1252,2025-06-28,"Kapadia, Agate and Om",54FiTV8851U0A2g,66442.55,18,11959.66,78402.21
